Kingdom Phylum Class Order Family Genus
80 Bacteria Firmicutes NA NA NA NA
81 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
82 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
83 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
84 Bacteria Firmicutes Clostridia "Clostridia vadinBB60 group" NA NA
85 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
86 Bacteria Proteobacteria Gammaproteobacteria Enterobacterales unclassified_Enterobacterales NA
87 Bacteria Firmicutes Bacilli Lactobacillales unclassified_Lactobacillales NA
88 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
89 Bacteria Patescibacteria Saccharimonadia Saccharimonadales Saccharimonadaceae "Candidatus Saccharimonas"
90 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
91 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
92 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae unclassified_Oscillospiraceae
93 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
94 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae UCG-006"
95 Bacteria Firmicutes Bacilli Lactobacillales Listeriaceae Listeria
96 Bacteria NA NA NA NA NA
97 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
98 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas
99 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
100 Bacteria Firmicutes Clostridia unclassified_Clostridia NA NA
101 Bacteria Deinococcota Deinococci Deinococcales Deinococcaceae Deinococcus
102 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
103 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
104 Bacteria Proteobacteria Alphaproteobacteria Rickettsiales Mitochondria NA
105 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
106 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae A2
107 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae A2
108 Bacteria Firmicutes Clostridia "Clostridia UCG-014" NA NA
109 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "[Eubacterium] xylanophilum group"
110 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
111 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
112 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae FCS020 group"
113 NA NA NA NA NA NA
114 Bacteria NA NA NA NA NA
115 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
116 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
117 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
118 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
119 Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
120 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
121 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
122 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
123 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae UCG-006"
124 Bacteria NA NA NA NA NA
125 Bacteria NA NA NA NA NA
126 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
127 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
128 NA NA NA NA NA NA
129 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
130 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
131 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae UCG-001"
132 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Anaerotruncus
133 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
134 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
135 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
136 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae ASF356
137 Bacteria Firmicutes Bacilli RF39 NA NA
138 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
139 Bacteria Proteobacteria Gammaproteobacteria NA NA NA
140 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae NA
141 Bacteria Firmicutes Clostridia "Clostridia vadinBB60 group" NA NA
142 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
143 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
144 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae ASF356
145 Bacteria Firmicutes Clostridia "Clostridia vadinBB60 group" NA NA
146 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
147 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
148 NA NA NA NA NA NA
149 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
150 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
151 Bacteria NA NA NA NA NA
152 Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae "Family XIII UCG-001"
153 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
154 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
155 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae UCG-001"
156 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
157 Bacteria Firmicutes Clostridia Oscillospirales "[Eubacterium] coprostanoligenes group" NA
158 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae GCA-900066575
159 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
160 NA NA NA NA NA NA
161 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetitomaculum
162 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
163 NA NA NA NA NA NA
164 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
165 Bacteria Firmicutes Clostridia "Clostridia UCG-014" NA NA
166 NA NA NA NA NA NA
167 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
168 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae GCA-900066575
169 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
170 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
171 Bacteria Firmicutes Clostridia NA NA NA
172 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
173 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae unclassified_Oscillospiraceae
174 Bacteria Firmicutes Clostridia NA NA NA
175 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
176 Bacteria Firmicutes Clostridia Oscillospirales unclassified_Oscillospirales NA
177 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Blautia
178 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
