Kingdom Phylum Class Order Family Genus
75 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
76 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_FCS020_group
77 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
78 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
79 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
80 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Incertae_Sedis
81 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
82 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
83 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
84 Bacteria Firmicutes Clostridia Clostridia_vadinBB60_group NA NA
85 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
86 Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Escherichia/Shigella
87 Bacteria Firmicutes Bacilli Lactobacillales Enterococcaceae Enterococcus
88 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
89 Bacteria Patescibacteria Saccharimonadia Saccharimonadales Saccharimonadaceae Candidatus_Saccharimonas
90 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
91 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
92 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Colidextribacter
93 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
94 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_UCG-006
95 Bacteria Firmicutes Bacilli Lactobacillales Listeriaceae Listeria
96 Bacteria Firmicutes Clostridia Peptococcales Peptococcaceae NA
97 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium
98 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas
99 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
100 Bacteria Firmicutes Clostridia Clostridia_vadinBB60_group NA NA
101 Bacteria Deinococcota Deinococci Deinococcales Deinococcaceae Deinococcus
102 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Colidextribacter
103 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
104 Bacteria Proteobacteria Alphaproteobacteria Rickettsiales Mitochondria NA
105 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
106 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae A2
107 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae A2
108 Bacteria Firmicutes Clostridia Clostridia_UCG-014 NA NA
109 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Herbinix
110 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
111 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
112 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_FCS020_group
113 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
114 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
115 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium
116 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
117 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
118 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
119 Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
120 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
121 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_UCG-001
122 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
123 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_UCG-006
124 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
125 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
126 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae GCA-900066575
127 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
128 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
129 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
130 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
131 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_UCG-001
132 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Anaerotruncus
133 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
134 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
135 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
136 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae ASF356
137 Bacteria Firmicutes Bacilli RF39 NA NA
138 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
139 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas
140 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Rhodobacter
141 Bacteria Firmicutes Clostridia Clostridia_vadinBB60_group NA NA
142 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
143 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
144 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae ASF356
145 Bacteria Firmicutes Clostridia Clostridia_vadinBB60_group NA NA
146 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
147 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
148 Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae NA
149 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
150 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
151 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
152 Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family_XIII_UCG-001
153 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium
154 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium
155 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
156 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
157 Bacteria Firmicutes Clostridia Oscillospirales NA NA
158 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae GCA-900066575
159 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Eisenbergiella
160 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
161 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
162 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
163 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
164 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
165 Bacteria Firmicutes Clostridia Clostridia_UCG-014 NA NA
166 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Tyzzerella
167 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
168 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
169 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
170 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
171 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
